Date,Open,High,Low,Close,Adj Close,Volume,Change %
12/21/2021,1789.74,1800.85,1784.58,1788.36,1788.36,0,-0.05%
12/20/2021,1799.40,1804.32,1787.98,1789.32,1789.32,0,-0.47%
12/17/2021,1799.55,1814.63,1795.67,1797.68,1797.68,0,-0.07%
12/16/2021,1777.40,1799.53,1775.43,1799.03,1799.03,0,1.24%
12/15/2021,1770.49,1781.04,1753.84,1777.06,1777.06,0,0.39%
12/14/2021,1787.19,1789.74,1766.31,1770.18,1770.18,0,-0.94%
12/13/2021,1782.94,1791.78,1781.51,1786.94,1786.94,0,0.25%
12/10/2021,1774.94,1789.47,1769.43,1782.51,1782.51,0,0.45%
12/09/2021,1782.49,1788.05,1772.80,1774.46,1774.46,0,-0.43%
12/08/2021,1784.40,1793.60,1779.45,1782.06,1782.06,0,-0.11%
12/07/2021,1778.08,1788.02,1771.93,1784.04,1784.04,0,0.33%
12/06/2021,1784.79,1787.87,1775.91,1778.11,1778.11,0,-0.32%
12/03/2021,1768.84,1786.44,1765.63,1783.74,1783.74,0,0.85%
12/02/2021,1783.05,1783.58,1761.68,1768.64,1768.64,0,-0.79%
12/01/2021,1774.15,1794.80,1771.96,1782.66,1782.66,0,0.50%
11/30/2021,1785.34,1809.38,1769.43,1773.78,1773.78,0,-0.63%
11/29/2021,1790.05,1799.80,1781.23,1785.01,1785.01,0,-0.38%
11/26/2021,1788.70,1815.78,1780.79,1791.81,1791.81,0,0.19%
11/25/2021,1789.49,1795.65,1785.85,1788.45,1788.45,0,0.00%
11/24/2021,1790.34,1797.01,1778.44,1788.50,1788.50,0,-0.07%
11/23/2021,1805.65,1812.50,1781.63,1789.73,1789.73,0,-0.85%
11/22/2021,1846.74,1849.49,1801.95,1805.04,1805.04,0,-2.14%
11/19/2021,1858.90,1865.76,1842.98,1844.60,1844.60,0,-0.75%
11/18/2021,1866.97,1871.29,1854.94,1858.46,1858.46,0,-0.46%
11/17/2021,1850.34,1868.32,1849.38,1866.96,1866.96,0,0.92%
11/16/2021,1862.94,1877.40,1849.16,1849.91,1849.91,0,-0.67%
11/15/2021,1868.15,1870.57,1855.73,1862.46,1862.46,0,-0.09%
11/12/2021,1861.99,1868.69,1844.78,1864.04,1864.04,0,0.14%
11/11/2021,1849.69,1866.35,1842.66,1861.52,1861.52,0,0.65%
11/10/2021,1831.90,1868.70,1821.60,1849.57,1849.57,0,0.99%
11/09/2021,1824.74,1833.08,1817.70,1831.48,1831.48,0,0.40%
11/08/2021,1818.44,1826.93,1812.08,1824.26,1824.26,0,0.41%
11/05/2021,1792.14,1818.61,1785.17,1816.73,1816.73,0,1.40%
11/04/2021,1769.98,1799.26,1769.13,1791.70,1791.70,0,1.25%
11/03/2021,1787.71,1788.42,1758.45,1769.52,1769.52,0,-0.99%
11/02/2021,1793.61,1796.91,1785.78,1787.28,1787.28,0,-0.32%
11/01/2021,1783.24,1796.20,1778.89,1793.05,1793.05,0,0.57%
10/29/2021,1799.03,1801.49,1771.70,1782.81,1782.81,0,-0.88%
10/28/2021,1796.78,1810.49,1792.34,1798.62,1798.62,0,0.11%
10/27/2021,1793.04,1799.38,1782.83,1796.69,1796.69,0,0.23%
10/26/2021,1807.90,1808.50,1781.98,1792.63,1792.63,0,-0.82%
10/25/2021,1794.00,1810.18,1791.95,1807.47,1807.47,0,0.84%
10/22/2021,1782.89,1814.22,1782.46,1792.48,1792.48,0,0.55%
10/21/2021,1782.10,1789.61,1776.07,1782.76,1782.76,0,0.05%
10/20/2021,1769.28,1788.68,1766.50,1781.83,1781.83,0,0.73%
10/19/2021,1764.99,1785.53,1762.48,1768.87,1768.87,0,0.24%
10/18/2021,1767.74,1772.30,1759.68,1764.60,1764.60,0,-0.15%
10/15/2021,1795.81,1796.89,1764.48,1767.26,1767.26,0,-1.58%
10/14/2021,1792.75,1800.91,1786.22,1795.56,1795.56,0,0.16%
10/13/2021,1760.05,1796.31,1757.89,1792.65,1792.65,0,1.86%
10/12/2021,1754.12,1769.78,1750.47,1759.93,1759.93,0,0.35%
10/11/2021,1757.34,1761.36,1749.68,1753.86,1753.86,0,-0.16%
10/08/2021,1755.89,1781.60,1753.03,1756.67,1756.67,0,0.08%
10/07/2021,1762.74,1767.45,1751.38,1755.29,1755.29,0,-0.41%
10/06/2021,1760.45,1765.78,1745.45,1762.48,1762.48,0,0.14%
10/05/2021,1769.75,1771.03,1748.56,1759.96,1759.96,0,-0.54%
10/04/2021,1762.15,1771.06,1747.23,1769.51,1769.51,0,0.52%
10/01/2021,1756.91,1764.40,1749.36,1760.36,1760.36,0,0.21%
09/30/2021,1726.40,1764.53,1721.67,1756.66,1756.66,0,1.77%
09/29/2021,1733.97,1746.11,1721.07,1726.11,1726.11,0,-0.44%
09/28/2021,1750.45,1754.80,1727.18,1733.68,1733.68,0,-0.92%
09/27/2021,1751.24,1761.29,1744.19,1749.85,1749.85,0,0.00%
09/24/2021,1742.82,1758.08,1739.60,1749.86,1749.86,0,0.42%
09/23/2021,1768.40,1776.60,1737.84,1742.57,1742.57,0,-1.43%
09/22/2021,1774.51,1787.51,1764.84,1767.91,1767.91,0,-0.36%
09/21/2021,1764.19,1782.07,1757.61,1774.25,1774.25,0,0.59%
09/20/2021,1754.30,1767.31,1742.24,1763.88,1763.88,0,0.55%
09/17/2021,1753.67,1768.22,1747.07,1754.16,1754.16,0,0.04%
09/16/2021,1794.34,1796.71,1745.04,1753.39,1753.39,0,-2.19%
09/15/2021,1804.53,1807.30,1790.28,1792.59,1792.59,0,-0.65%
09/14/2021,1793.77,1808.99,1781.89,1804.27,1804.27,0,0.60%
09/13/2021,1788.55,1798.66,1783.73,1793.49,1793.49,0,0.34%
09/10/2021,1794.61,1804.15,1786.53,1787.34,1787.34,0,-0.41%
09/09/2021,1789.19,1801.19,1783.83,1794.69,1794.69,0,0.32%
09/08/2021,1794.41,1802.60,1781.98,1788.93,1788.93,0,-0.29%
09/07/2021,1823.27,1827.39,1792.33,1794.13,1794.13,0,-1.59%
09/06/2021,1828.66,1830.60,1820.58,1823.10,1823.10,0,-0.17%
09/03/2021,1809.98,1834.55,1808.53,1826.19,1826.19,0,0.93%
09/02/2021,1813.92,1817.53,1804.48,1809.40,1809.40,0,-0.23%
09/01/2021,1813.57,1820.21,1808.18,1813.66,1813.66,0,0.01%
08/31/2021,1810.26,1819.43,1801.47,1813.43,1813.43,0,0.18%
08/30/2021,1817.55,1823.38,1807.28,1810.17,1810.17,0,-0.36%
08/27/2021,1792.60,1819.38,1787.66,1816.67,1816.67,0,1.37%
08/26/2021,1791.09,1798.61,1779.48,1792.16,1792.16,0,0.08%
